"CreateTime","Des","ImgStatus","MesLocalID","Message","MesSvrID","Status","TableVer","Type"
"1586488011","1","1","1","我通过了你的朋友验证请求，现在我们可以开始聊天了","8638936252623551490","4","1","1"
"1586489378","0","1","2","你好","2160121615651260721","3","1","1"
"1586489412","1","1","3","你好","2097554399519879131","4","1","1"
"1586489415","0","1","4","我是爱玲姐和雪琴姐介绍过来的 叫张新明","6508133126266460720","3","1","1"
"1586489442","1","1","5","你好，我是宋淑贞","7931572661585580911","4","1","1"
"1586489466","0","1","6","好的","1640248830323306808","3","1","1"
"1586489487","0","1","7","目前你在读书吗","7289465958777422203","3","1","1"
"1586489524","1","1","8","我今年刚毕业，准备在上海做博后","5280595672239523098","4","1","1"
"1586489554","0","1","9","我刚入学 博一 计算机的","3489468752610828069","3","1","1"
"1586489559","0","1","10","在北科大","3142163804133834403","3","1","1"
"1586489603","0","1","11","我倒是很多同学在上海[捂脸]","954997113024869174","3","1","1"
"1586489700","1","1","12","我好像有同学在北科大的，很不错的学校","688493379601919558","4","1","1"
"1586489706","1","1","13","[强]","8468553610420845520","4","1","1"
"1586489740","0","1","14","你学什么专业呀","1611878241438211742","2","1","1"
"1586489762","1","1","15","我是海洋科学，现在在华东师范大学","3005773731415863516","4","1","1"
"1586489816","0","1","16","海洋科学 我不是太懂[捂脸]","1379587695373333621","2","1","1"
"1586489859","0","1","17","华东师范 华中科技 同济","8516544141069253341","2","1","1"
"1586489873","0","1","18","这几个学校应该离得不远吧","660901943048929841","2","1","1"
"1586489942","1","1","19","我们学校离上海交大很近，同济就比较远了，开学要两个小时呢。。","4474593000135211020","4","1","1"
"1586489950","1","1","20","开车😂","3161927333133976690","4","1","1"
"1586489975","1","1","21","你是一直在北京吗？","5084308995052133578","4","1","1"
"1586489999","0","1","22","我是16年去的北京","6470917798039261936","3","1","1"
"1586490004","0","1","23","上海也去","2733885344714621968","3","1","1"
"1586490020","0","1","24","我朋友圈的一些照片都是上海拍的","5701276263857557704","3","1","1"
"1586490023","1","1","25","会经常去上海出差？","2978501991808648534","4","1","1"
"1586490024","0","1","26","和我那些同学","8911090714825935577","3","1","1"
"1586490038","0","1","27","出差不多 假期去玩的","9018652930926772085","3","1","1"
"1586490040","0","1","28","[捂脸]","7950605398302985017","3","1","1"
"1586490073","0","1","29","北京那边你常去吗","6890174749249686843","3","1","1"
"1586490082","1","1","30","哈哈，上海还是有许多地方值得一去的","8259749613665771631","4","1","1"
"1586490107","1","1","31","我之前去过一两次，不过都是工作，还没怎么去玩过","3304313425056194338","4","1","1"
